Body F10ating in the Zero Gravity Space
Tera IO
Camellia
170
380
N;0;4
N;1.5;1
N;3;1
N;9.5;1
N;11;1
N;16;4
N;16;3
N;17.5;1
N;19;1
N;25.5;1
N;27;1
N;32;2
N;32.5;1
N;33;3
N;33.5;4
N;34;5
N;34.5;6
N;35;3
N;35.5;2
N;36;4
N;36.5;5
N;37;6
N;37.5;5
N;38;6
N;39;4
N;39.5;3
N;40;4
N;40.5;1
N;41;2
N;41.5;3
N;42;4
N;42.5;5
N;43;3
N;43.5;4
N;44;2
N;44.5;1
N;45;4
N;45.5;5
N;46;6
N;46.5;4
N;47;5
N;47.5;2


N;48;1
N;48;4
N;48.5;2
N;49;1
N;49.5;4
N;50;5
N;50.5;6
N;51;4
N;51.5;3
N;51.5;5
N;56;1
N;56;4
N;58;2
N;58;5
N;59.5;1
N;59.5;6
N;61.5;3
N;61.5;5

N;64;4
N;64;6
N;64.5;2
N;65;3
N;65.5;4
N;66;5
N;66.5;6
N;67;5
N;67.5;4
N;68;2
N;68.5;4
N;69;2
N;69.5;3
N;70;5
N;70.5;3
N;71;4
N;71.5;3
N;72;6
N;72.5;3
N;73;4
N;73.5;5
N;74;2
N;74.5;1
N;75;2
N;75.5;3
N;75.75;4
N;76;3
N;76.5;5
N;77;1
N;77.5;4
N;78;2

// Start continous notes
N;80;4
N;80.5;4
N;81;4
N;81.5;4
N;82;4
N;82.5;4
N;83;4
N;83.5;4
N;84;3
N;84.5;3
N;85;3
N;85.5;3
N;86;3
N;86.5;3
N;87;3
N;87.5;3

// 16th notes alternating before bassdrop
N;88;4
N;88.25;3
N;88.5;4
N;88.75;3
N;89;4
N;89.25;3
N;89.5;4
N;89.75;3
N;90;4
N;90.25;3
N;90.5;4
N;90.75;3
N;91;4
N;91.25;3
N;91.5;4
N;91.75;3
N;92;4
N;92.25;3
N;92.5;4
N;92.75;3
N;93;4
N;93.25;3
N;93.5;4
N;93.75;3
N;94;4
N;94.25;3
N;94.5;4
N;94.75;3
N;95;4
N;95.25;3
N;95.5;4
N;95.75;3

// Bass drop
N;96;1
N;96;4
N;98;2
N;98.5;4
N;98.75;3
N;99.25;4
N;99.5;2
N;100;5
N;102.5;3
N;102.75;4
N;103.25;3
N;103.5;5
N;104;2
N;104;3
N;105.5;4
N;105.5;5
N;107;2
N;107;3
N;107;4
N;107;5
N;110;1
N;110;4
N;112;2
N;112;3
N;112;4
N;112;5
N;114;2
N;114;5
N;114.75;3
N;115.5;6
N;116;1
N;116;5
